ligand,ligand_smiles,base,solvent,temperature,yield,ee,reaction_smiles,reaction
(R)-pyrrolidin-3-ylmethanol,OC[C@H]1CNCC1,K2CO3,t-BuOH,90,0.0,0,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
(R)-pyrrolidine-3-carboxylic acid,O=C(O)[C@H]1CNCC1,K2CO3,t-BuOH,90,0.25,0,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
(S)-2-(pyrrolidin-2-yl)acetic acid,OC(C[C@H]1NCCC1)=O,K2CO3,t-BuOH,90,0.33,7,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
"(2S,3R)-3-hydroxypyrrolidine-2-carboxylic acid",O=C(O)[C@H]1NCC[C@H]1O,K2CO3,t-BuOH,90,0.22,0,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
"(2S,3S)-3-hydroxypyrrolidine-2-carboxylic acid",O=C(O)[C@H]1NCC[C@@H]1O,K2CO3,t-BuOH,90,1.39,18,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
"(2S,4S)-4-hydroxypyrrolidine-2-carboxylic acid",O=C(O)[C@H]1NC[C@@H](O)C1,K2CO3,t-BuOH,90,0.49,20,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
"(2S,4R)-4-hydroxypyrrolidine-2-carboxylic acid",O=C(O)[C@H]1NC[C@H](O)C1,K2CO3,t-BuOH,90,1.01,5,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
"(2S,4R)-4-((tert-butyldiphenylsilyl)oxy)pyrrolidine-2-carboxylic acid",O=C(O)[C@H]1NC[C@H](O[Si](C2=CC=CC=C2)(C(C)(C)C)C3=CC=CC=C3)C1,K2CO3,t-BuOH,90,3.8,22,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
"(2S,4R)-4-(tert-butoxy)pyrrolidine-2-carboxylic acid",O=C(O)[C@H]1NC[C@H](OC(C)(C)C)C1,K2CO3,t-BuOH,90,2.24,18,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
"(2S,4S)-4-(phenylthio)pyrrolidine-2-carboxylic acid hydrochloride",O=C(O)[C@H]1NC[C@@H](SC2=CC=CC=C2)C1.Cl,K2CO3,t-BuOH,90,1.75,28,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
"(2S,4R)-4-((tert-butoxycarbonyl)amino)pyrrolidine-2-carboxylic acid",O=C(O)[C@H]1NC[C@H](NC(OC(C)(C)C)=O)C1,K2CO3,t-BuOH,90,0.78,4,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
"(2S,4S)-4-phenylpyrrolidine-2-carboxylic acid hydrochloride",O=C(O)[C@H]1NC[C@H](C2=CC=CC=C2)C1.Cl,K2CO3,t-BuOH,90,1.85,23,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
"(2S,4S)-4-cyclohexylpyrrolidine-2-carboxylic acid",O=C(O)[C@H]1NC[C@H](C2CCCCC2)C1,K2CO3,t-BuOH,90,2.63,45,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
"(2S,4R)-4-(4-bromobenzyl)pyrrolidine-2-carboxylic acid",O=C(O)[C@H]1NC[C@H](CC(C=C2)=CC=C2Br)C1,K2CO3,t-BuOH,90,1.71,25,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
"(2S,3aS,7aS)-octahydro-1H-indole-2-carboxylic acid",O=C(O)[C@H]1N[C@]2([H])[C@](CCCC2)([H])C1,K2CO3,t-BuOH,90,2.4,13,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
(S)-2-methylpyrrolidine-2-carboxylic acid,O=C(O)[C@@]1(C)NCCC1,K2CO3,t-BuOH,90,2.57,2,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
(R)-2-allylpyrrolidine-2-carboxylic acid hydrochloride,O=C(O)[C@@]1(CC=C)NCCC1.Cl,K2CO3,t-BuOH,90,2.54,0,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
(S)-piperidine-3-carboxylic acid,OC([C@@H]1CNCCC1)=O,K2CO3,t-BuOH,90,0.38,33,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
"(2R,4R)-4-methylpiperidine-2-carboxylic acid",OC([C@@H]1NCC[C@@H](C)C1)=O,K2CO3,t-BuOH,90,2.27,2,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
"(4S,4'S)-2,2'-(1,3-bis(4-(tert-butyl)phenyl)propane-2,2-diyl)bis(4-phenyl-4,5-dihydrooxazole)",CC(C(C=C1)=CC=C1CC(C2=N[C@@H](C3=CC=CC=C3)CO2)(CC4=CC=C(C(C)(C)C)C=C4)C5=N[C@@H](C6=CC=CC=C6)CO5)(C)C,K2CO3,t-BuOH,90,0.0,0,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
"sodium (2S,4S)-4-cyclohexyl-1-(2-((R)-((S)-2-methyl-1-(propionyloxy)propoxy)(4-phenylbutyl)phosphoryl)acetyl)pyrrolidine-2-carboxylate",O=C([C@H]1N(C(C[P@@](CCCCC2=CC=CC=C2)(O[C@H](OC(CC)=O)C(C)C)=O)=O)C[C@H](C3CCCCC3)C1)[O-].[Na+],K2CO3,t-BuOH,90,0.1,13,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
"(2S,4S)-4-cyclohexylpyrrolidine-2-carboxylic acid",O=C(O)[C@H]1NC[C@H](C2CCCCC2)C1,K2CO3,t-BuOH,70,0.44,35,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
"(2S,4S)-4-cyclohexylpyrrolidine-2-carboxylic acid",O=C(O)[C@H]1NC[C@H](C2CCCCC2)C1,K2CO3,t-BuOH,80,2.44,42,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2
"(2S,4S)-4-cyclohexylpyrrolidine-2-carboxylic acid",O=C(O)[C@H]1NC[C@H](C2CCCCC2)C1,K2CO3,t-BuOH,90,2.55,37,OC1(CC=C)CCCCC1.OB(C2=CC=CC=C2)O.CCCCCI>>OC3(C[C@@H](CCCCC)CC4=CC=CC=C4)CCCCC3,2





